continent,nation,uni_name_eng,uni_name_ko,lat,lng,partner,course_point,category,program_date,program_date_tidily,program_duration,application_due,teaching_lang,minimum_lang,partner_adv,adv,expense,link,intern_program,accomodation
아시아,홍콩,"The Chinese University of Hong Kong
(CUHK)",홍콩중문대학교,22.4195,114.207,파트너대학,8주간 홍콩에서 연구하는 경험 🔬,전체,6. 22 - 8. 16,6-8월,8주,2. 14,영어 / 중국어,"TOEFL (iBT) 71
IETLS 6.0
",등록금 면제,"확인 필요 (24년 기준, 등록금 면제시 여비지원 X)",프로그램마다 상이,https://www.summer.cuhk.edu.hk/surp/,연구실인턴,기숙사
아시아,홍콩,The University of Hong Kong,홍콩대학교,22.283,114.137,파트너대학,"✯재ㅁㅣ있는 프로젝트➞ ㄷHㄱㅓ 준비 ல♛✜
일본X✎홍콩 ❉♝프로그램도 있음
➺๑미디어☜부터 ❦화학◈까지 분야 ㄷㅏ양➹✹",전체,6.16-8.15,"6월-7월, 7월, 7월-8월, 8월","2주, 3주","프로그램마다 상이하나, 대부분 2.7 (조기할인 10%), 3.21",영어,"TOEFL (iBT) 80
IETLS 6.0",등록금 10% 할인,A(500만 원),프로그램마다 상이,https://www.summerinstitute.hku.hk/programmes/undergraduate-postgraduate-programmes,연구실인턴,"기숙사, 호텔"
아시아,싱가포르,National University of Singapore,싱가포르국립대학교(NUS),1.2966,103.7764,파트너대학,아시아 최상위 대학에서 외국인과 창업 해커톤! 🚀,"공학, 경영경제",7. 7 - 8. 15,7월,2주,3. 31,영어,"TOEFL (iBT) 100
IETLS 6.5",,A(500만 원),"SGD 5,600",https://enterprise.nus.edu.sg/education-programmes/summer-programme/,,기숙사
아시아,싱가포르,Singapore Management University,싱가포르경영대학교(SMU),1.2966,103.8506,,경영에 디지털 기술 더해서~ ➕,"공학, 경영경제",6. 23 - 8. 1,"6-7월, 7-8월",4주,4. 15,영어,"TOEFL 90
IELTS 6.5",,A(500만 원),SGD 3755 - 5965,https://geo.smu.edu.sg/study-in-smu/global-summer-programme,,미제공
아시아,싱가포르,Nanyang Technological University,난양공과대학교(NTU),1.3483,103.6831,파트너대학,여름학교에 진심! 비즈니스 & 기술 다루는 5개 트랙 준비,"공학, 경영경제",6. 23 - 7. 19,"6-7월, 7월","2주, 4주",3. 31,영어,"IELTS/ IELTS indicator: a minimum 6 (overall) and 6 (writing)
TOEFL/ TOEFL iBT Special Home Edition: a minimum of 600 (paper) or 90 (internet) or 237 (computer). ",등록금 면제 (최대 2코스),"확인 필요 (24년 기준, 등록금 면제시 여비지원 X)",SGD 1070,https://ntu-sa.terradotta.com/index.cfm?FuseAction=Programs.ViewProgramAngular&id=11025,,기숙사
오세아니아,호주,University of Adelaide,애들레이드대학교,-34.9205,138.6062,,호주 8대 명문대의 농업·생활과학 & 호주 와인 코스 🍷,"자연과학, 사회과학, 인문예술",6. 27 - 7.26,"6-7월, 7월","1주, 2주, 3주, 4주",5.1,영어,"IELTS 6.5
(각 Band별 6.0 이상)
TOEFL 79
(Writing 21, Speaking 18, Reading and Listening 13 이상)",,A(500만 원),"AUD 5,000 - 9,500",https://www.adelaide.edu.au/inbound-study-abroad/summer-winter-school ,,미제공
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
